model,mae,rmse,r2,spearman,validation_rmse
gradient_boosting,0.013890195703731347,0.01816223492761082,-0.012874489056535543,0.07152441227757826,0.019607942328842876
historical_mean,0.014762820288834997,0.01835389730226792,-0.03436460163697186,0.0,
random_forest,0.01520557059059975,0.018835895048404088,-0.08940553829056608,-0.14508738700720902,0.01662206650715322
elastic_net,0.013764786005157945,0.019725773037518744,-0.19477222697203134,-0.11421855015192472,0.014071345567057253
ridge,0.013906299363683304,0.020054700820037078,-0.23495015756712356,-0.08951577309295186,0.01332355479755489
zero_predictor,0.022460868426520682,0.02881257543283712,-1.5490667871678134,0.0,
