label,feature_group,model,threshold_rule,threshold,split,roc_auc,average_precision,f1,precision,recall,balanced_accuracy,selected_for_final,n_train,n_validation,n_test,model_params
high_dsv20_state_80,total_only,random_forest_default_0_5,default_0_5,0.5,test,0.5600255427841634,0.3311532150824416,0.3176470588235294,0.3253012048192771,0.3103448275862069,0.5255427841634738,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_80,total_only,majority_class,majority_class,,test,0.5,0.2871287128712871,0.0,0.0,0.0,0.5,False,1262,303,303,{}
high_dsv20_state_80,net_only,random_forest_tuned_threshold,max_f1,0.1625,test,0.6635802469135803,0.48974442320699063,0.46616541353383456,0.3463687150837989,0.7126436781609196,0.5854885057471264,True,1262,303,303,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 1, ""random_state"": 42}"
high_dsv20_state_80,net_only,random_forest_tuned_threshold,max_balanced_accuracy,0.1625,test,0.6635802469135803,0.48974442320699063,0.46616541353383456,0.3463687150837989,0.7126436781609196,0.5854885057471264,False,1262,303,303,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 1, ""random_state"": 42}"
high_dsv20_state_80,net_only,random_forest_tuned_threshold,max_recall_precision_ge_0_30,0.05625,test,0.6635802469135803,0.48974442320699063,0.4598337950138504,0.3029197080291971,0.9540229885057471,0.5348818646232439,False,1262,303,303,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 1, ""random_state"": 42}"
high_dsv20_state_80,net_only,random_forest_default_0_5,default_0_5,0.5,test,0.6635802469135803,0.48974442320699063,0.24761904761904763,0.7222222222222222,0.14942528735632185,0.5631385696040868,False,1262,303,303,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 1, ""random_state"": 42}"
high_dsv20_state_80,net_only,majority_class,majority_class,,test,0.5,0.2871287128712871,0.0,0.0,0.0,0.5,False,1262,303,303,{}
high_dsv20_state_80,total_plus_net,random_forest_tuned_threshold,max_f1,0.357508,test,0.5941358024691358,0.432965106190979,0.4,0.2878787878787879,0.6551724137931034,0.5011973180076628,False,1262,303,303,"{""n_estimators"": 600, ""max_depth"": 5, ""min_samples_leaf"": 2, ""random_state"": 42}"
high_dsv20_state_80,total_plus_net,random_forest_tuned_threshold,max_balanced_accuracy,0.454361,test,0.5941358024691358,0.432965106190979,0.4019138755980861,0.3442622950819672,0.4827586206896552,0.5561941251596424,True,1262,303,303,"{""n_estimators"": 600, ""max_depth"": 5, ""min_samples_leaf"": 2, ""random_state"": 42}"
high_dsv20_state_80,total_plus_net,random_forest_tuned_threshold,max_recall_precision_ge_0_30,0.26861,test,0.5941358024691358,0.432965106190979,0.4588235294117647,0.308300395256917,0.896551724137931,0.543183269476373,False,1262,303,303,"{""n_estimators"": 600, ""max_depth"": 5, ""min_samples_leaf"": 2, ""random_state"": 42}"
high_dsv20_state_80,total_plus_net,random_forest_default_0_5,default_0_5,0.5,test,0.5941358024691358,0.432965106190979,0.4050632911392405,0.4507042253521127,0.367816091954023,0.5936302681992337,False,1262,303,303,"{""n_estimators"": 600, ""max_depth"": 5, ""min_samples_leaf"": 2, ""random_state"": 42}"
high_dsv20_state_80,total_plus_net,majority_class,majority_class,,test,0.5,0.2871287128712871,0.0,0.0,0.0,0.5,False,1262,303,303,{}
high_dsv20_state_85,total_only,random_forest_tuned_threshold,max_f1,0.348002,test,0.5347343059831349,0.2189824414985399,0.3467741935483871,0.23118279569892472,0.6935483870967742,0.550093695623076,True,1262,303,303,"{""n_estimators"": 600, ""max_depth"": 5, ""min_samples_leaf"": 2, ""random_state"": 42}"
high_dsv20_state_85,total_only,random_forest_tuned_threshold,max_balanced_accuracy,0.348002,test,0.5347343059831349,0.2189824414985399,0.3467741935483871,0.23118279569892472,0.6935483870967742,0.550093695623076,False,1262,303,303,"{""n_estimators"": 600, ""max_depth"": 5, ""min_samples_leaf"": 2, ""random_state"": 42}"
