date,tci_long
2021-11-30,0.004011090828970438
2021-12-01,0.00444198532169446
2021-12-02,0.004566696994938936
2021-12-03,0.004252940383275241
2021-12-06,0.004040937997486208
2021-12-07,0.003602967313786096
2021-12-08,0.003577668522953211
2021-12-09,0.0036155746432522807
2021-12-10,0.0036330949248418467
2021-12-13,0.0036287236525056337
2021-12-14,0.003614079379562526
2021-12-17,0.003619594323019136
2021-12-22,0.0035536528485681424
2021-12-23,0.0037605502498281444
2021-12-30,0.0033160897009645615
2021-12-31,0.0033300505249354187
2022-01-03,0.00341187868953247
2022-01-04,0.003547980727625093
2022-01-05,0.003517528657188622
2022-01-06,0.00357674016334839
2022-01-07,0.0035348921707288685
2022-01-10,0.0036030048198244756
2022-01-11,0.0036052396275555107
2022-01-12,0.0039433181715221475
2022-01-13,0.0034543359689334086
2022-01-19,0.003311258559404153
2022-01-20,0.0032007358329867726
2022-01-21,0.003149653486178936
2022-01-24,0.005393339775071559
2022-01-25,0.004100121852740759
2022-01-26,0.002783964369292694
2022-01-27,0.0033010036443437804
2022-01-28,0.003194791677178671
2022-01-31,0.0032018889605601084
2022-02-01,0.0028392065853160464
2022-02-02,0.0027900006872089897
2022-02-03,0.003643010232045321
2022-02-04,0.0037135105514953
2022-02-07,0.0037705427959990614
2022-02-10,0.0037104230853521095
2022-02-11,0.003418709273915442
2022-02-14,0.004121335859098804
2022-02-15,0.004643507777339967
2022-02-16,0.003984647739886966
2022-02-17,0.004001014606974428
2022-02-18,0.0036882876024181177
2022-02-23,0.003740262422786284
2022-02-24,0.0035003266992321455
2022-02-25,0.00331572276181021
2022-02-28,0.002943904654394355
2022-03-01,0.003582254531637221
2022-03-02,0.002827603440051797
2022-03-03,0.0022946275726436574
2022-03-04,0.002328151945374577
2022-03-07,0.0023837644036970485
2022-03-08,0.0021600704124228403
2022-03-09,0.0023199583122711083
2022-03-10,0.0016363663566854663
2022-03-11,0.0016706742743035571
2022-03-14,0.0017757865353841273
2022-03-15,0.0018184068710183163
2022-03-16,0.0019843419478630764
2022-03-17,0.0016195563556005634
2022-03-18,0.0014704389716626934
2022-03-21,0.0014400257652839043
2022-03-22,0.0014243318147488743
2022-04-11,0.0014465265895372565
2022-04-12,0.0014682182528932605
2022-04-13,0.0013876878978051563
2022-04-14,0.0014081203284246188
2022-04-20,0.0013534241149325158
2022-04-21,0.0013600432151933065
2022-04-22,0.0013567157851585292
2022-04-25,0.0015275175299743731
2022-04-26,0.001198163703010992
2022-04-27,0.0013184372862090502
2022-04-28,0.0012167807849938503
2022-04-29,0.0012028924382286726
2022-05-04,0.0011963090816103324
2022-05-05,0.0011322251486434846
2022-05-06,0.0009881398592236836
2022-05-09,0.0009618592107620143
2022-05-12,0.0010106562148643001
2022-05-17,0.0010034521190257512
2022-05-18,0.0010358978169283653
2022-05-19,0.0010219993062134392
2022-05-24,0.0009503522917366641
2022-05-25,0.0009520212161296466
2022-05-26,0.0009154356056818258
2022-05-27,0.0009092295936303403
2022-06-01,0.0009231078981815949
2022-06-06,0.0008810593790989366
2022-06-07,0.0008656078824797643
2022-06-08,0.0008796004394626488
2022-06-09,0.0008779393998629589
2022-06-10,0.0008905168020465001
2022-06-13,0.0008169089553104005
2022-06-14,0.0008264333076985242
2022-06-15,0.0008288615508322089
2022-06-16,0.0008334129644673257
2022-06-17,0.0008438133869152618
2022-06-22,0.0008611213448655662
2022-06-23,0.000796815704404447
2022-06-24,0.0008329127634455246
2022-06-27,0.0007627289515953284
2022-06-28,0.0008036341140171176
2022-06-29,0.0007486442144407673
2022-06-30,0.0007564609909358565
2022-07-01,0.0008142951780457192
2022-07-06,0.0010457564654269543
2022-07-07,0.001013985427549719
2022-07-08,0.0010276470479101902
2022-07-11,0.001017966251657253
2022-07-12,0.0010016991111404404
2022-07-13,0.000938031746645614
2022-07-14,0.0009381853826318731
2022-07-15,0.0009704804151117933
2022-07-18,0.000897574226532788
2022-07-19,0.0008723413209443948
2022-07-20,0.0010351765599590896
2022-07-21,0.0011022441233489515
2022-07-22,0.000871022200364743
2022-07-25,0.001036536599209905
2022-07-26,0.0008826555661629733
2022-07-27,0.0008639949896060288
2022-07-28,0.0008633428922265757
2022-07-29,0.0008822021227046285
2022-08-01,0.0008944960514924786
2022-08-02,0.0008812978550831421
2022-08-03,0.0008425246730469617
2022-08-04,0.0008217416324439877
2022-08-05,0.0008012844883104553
2022-08-08,0.0008145408971115408
2022-08-09,0.0007943881723709432
2022-08-10,0.0008271204313590337
2022-08-11,0.0008268453689787161
2022-08-12,0.0008273080635425672
2022-08-15,0.0008557004473543848
2022-08-16,0.0008289094820270502
2022-08-17,0.0008123589177722979
2022-08-18,0.0008143534452529213
2022-08-19,0.0008532216874417506
2022-08-22,0.000851562296485428
2022-08-23,0.000820854643624686
2022-08-24,0.0008104717046320525
2022-08-25,0.0008287283494236596
2022-08-26,0.0008349844135764036
2022-08-31,0.0008256494462785211
2022-09-01,0.0007879357329010312
2022-09-02,0.0007443023392174937
2022-09-07,0.000673151196817474
2022-09-08,0.0006670066580368133
2022-09-09,0.0006558294750528003
2022-09-12,0.0006631081695511049
2022-09-13,0.0006601708799113683
2022-09-14,0.0006475600867397894
2022-09-15,0.0006386579789666008
2022-09-16,0.0006478671541501015
2022-09-21,0.0006351930856587721
2022-09-22,0.000669651832250536
2022-09-23,0.0006177693294552799
2022-09-26,0.0006338626566060132
2022-09-27,0.0005566084360537023
2022-09-28,0.0005480732812729573
2022-09-29,0.0005475833059738739
2022-09-30,0.0005689332120526832
2022-10-03,0.0005674096897481955
2022-10-04,0.000600000964325659
2022-10-05,0.0005223342685993519
2022-10-06,0.0005228590169739242
2022-10-07,0.0005101442304042323
2022-10-14,0.00045996566499335824
2022-10-17,0.00043080401156861165
2022-10-18,0.0004456808677088169
2022-10-19,0.0004637486427553728
2022-10-20,0.0004784168540901956
2022-10-21,0.00047711518843507127
2022-10-24,0.00048470945789993303
2022-10-25,0.00047398695373377346
2022-10-26,0.00047035993365546
2022-10-27,0.0004780771628704315
2022-10-28,0.0004890922674584644
2022-10-31,0.0004876726628148672
2022-11-01,0.0004938842991836647
2022-11-02,0.0004996513014782838
2022-11-03,0.0004939799791012989
2022-11-04,0.0005159601243459958
2022-11-07,0.0005779583741639015
2022-11-08,0.0006356405167585207
2022-11-09,0.0007335976783764412
2022-11-10,0.0006148761685318768
2022-11-15,0.0007843072188701107
2022-11-16,0.0006681644364626149
2022-11-17,0.000492257009870764
2022-11-18,3.1388729908527748e-06
2022-11-21,1.8732677942853226e-06
2022-11-22,1.898774904443902e-06
2022-11-23,1.931421446236153e-06
2022-11-29,1.8709583689697425e-06
2022-11-30,2.085160853378669e-06
2022-12-01,2.515803161675895e-06
2022-12-02,2.0834110312573046e-06
2022-12-05,2.0956921407373536e-06
2022-12-06,2.721843335723116e-06
2022-12-07,2.9240745761866566e-06
2022-12-08,3.293868446296633e-06
2022-12-09,3.4684040759576946e-06
2022-12-12,3.3323049582416054e-06
2022-12-13,2.7250964095638194e-06
2022-12-14,3.011502523498053e-06
2022-12-15,3.5599163100117446e-06
2022-12-16,3.6966343155450894e-06
2022-12-19,3.4656652987582565e-06
2022-12-20,3.825858659638825e-06
2022-12-21,3.7869604366284916e-06
2022-12-22,4.7517775272299985e-06
2022-12-29,6.615912052150425e-06
2022-12-30,5.146248939884397e-06
2023-01-04,5.012746659720542e-06
2023-01-05,5.506070109307544e-06
2023-01-06,5.00829434796588e-06
2023-01-09,5.2515067917196115e-06
2023-01-10,5.3293822549369145e-06
2023-01-11,4.6712069284680314e-06
2023-01-18,4.396242588241824e-06
2023-01-19,4.453029466955801e-06
2023-01-20,4.409655140935397e-06
2023-01-23,2.746583574687325e-06
2023-01-24,3.4159233733374424e-06
2023-01-25,2.7321701759105386e-06
2023-01-26,2.5538928489823017e-06
2023-01-27,3.0734245668656864e-06
2023-01-30,2.767528190804463e-06
2023-01-31,2.440946920108399e-06
2023-02-01,2.873175215347623e-06
2023-02-02,2.6611156188996883e-06
2023-02-03,2.6632453960476817e-06
2023-02-06,1.9470216897894696e-05
2023-02-07,6.8226091343069554e-06
2023-02-08,7.101196612123482e-06
2023-02-09,5.780921326826218e-06
2023-02-10,5.01760421161514e-06
2023-02-13,5.3971922347209624e-06
2023-02-14,4.263912933840582e-06
