date,tci_short
2021-11-30,56.73105934183409
2021-12-01,58.10906491810788
2021-12-02,58.20202473559343
2021-12-03,58.213112827288874
2021-12-06,58.37383612372141
2021-12-07,58.95936857484812
2021-12-08,59.083516970826814
2021-12-09,59.013816282389165
2021-12-10,58.86833605061784
2021-12-13,58.93730540154146
2021-12-14,59.01000402414615
2021-12-17,60.385209073017144
2021-12-22,60.61702043969701
2021-12-23,60.628137256901226
2021-12-30,60.77196360406432
2021-12-31,60.846254093488476
2022-01-03,61.213285971866846
2022-01-04,61.03048563969145
2022-01-05,60.915675754018785
2022-01-06,60.84221882999438
2022-01-07,60.964195448848336
2022-01-10,60.91878933504939
2022-01-11,60.889576795628166
2022-01-12,61.69653726518697
2022-01-13,62.000592341105865
2022-01-19,62.229128770957495
2022-01-20,62.212599740758556
2022-01-21,62.5214859441578
2022-01-24,62.60884312488087
2022-01-25,59.78286056122908
2022-01-26,60.23978935774276
2022-01-27,60.74122079273254
2022-01-28,60.76516590903531
2022-01-31,60.49395420036661
2022-02-01,60.02707570468468
2022-02-02,60.817913018859706
2022-02-03,60.362575086283925
2022-02-04,60.560790581102765
2022-02-07,60.2096555794252
2022-02-10,59.46347793543273
2022-02-11,58.53235106125218
2022-02-14,58.691915552788664
2022-02-15,58.556685508098745
2022-02-16,57.35011662782446
2022-02-17,56.755945417394095
2022-02-18,56.341587648634594
2022-02-23,56.180003071112104
2022-02-24,55.67104363509521
2022-02-25,52.481386180914
2022-02-28,52.03566799428682
2022-03-01,52.04809292687676
2022-03-02,51.40498721480518
2022-03-03,52.8378147339895
2022-03-04,52.893554656486494
2022-03-07,54.24407266657283
2022-03-08,54.2974270159638
2022-03-09,55.29157236909856
2022-03-10,57.665584070870516
2022-03-11,57.6748882629762
2022-03-14,57.75604765869641
2022-03-15,59.248080115008996
2022-03-16,52.30672265432608
2022-03-17,52.870778652517224
2022-03-18,52.956640098948355
2022-03-21,52.737982992667035
2022-03-22,52.09805325414059
2022-04-11,52.04145820876489
2022-04-12,52.58352194326761
2022-04-13,53.17953183374245
2022-04-14,53.266826704048206
2022-04-20,53.2697192353179
