date,tci_total
2021-11-30,29.391547240472544
2021-12-01,30.019398011622048
2021-12-02,30.065077255767008
2021-12-03,29.974738720197298
2021-12-06,30.108160199496254
2021-12-07,30.06400583934162
2021-12-08,30.029144416676584
2021-12-09,29.970795963751495
2021-12-10,29.90666340326416
2021-12-13,29.91110695192168
2021-12-14,29.922675611767527
2021-12-17,30.299645782839445
2021-12-22,30.39398943161616
2021-12-23,30.439380989787008
2021-12-30,30.466635844579447
2021-12-31,30.475749424642952
2022-01-03,30.60370659869511
2022-01-04,30.541998076387628
2022-01-05,30.47341813840555
2022-01-06,30.466080540991936
2022-01-07,30.436325115502722
2022-01-10,30.404176528602886
2022-01-11,30.420990742616727
2022-01-12,30.70048438847319
2022-01-13,30.747516418138673
2022-01-19,30.845458253332225
2022-01-20,30.822439844330564
2022-01-21,31.01105119649722
2022-01-24,30.91579113411481
2022-01-25,30.512398614148996
2022-01-26,30.31174822265359
2022-01-27,30.710463298023218
2022-01-28,30.794778087523273
2022-01-31,30.604052415947123
2022-02-01,29.85629508537498
2022-02-02,29.98323313791215
2022-02-03,29.762649676688024
2022-02-04,29.88253490872698
2022-02-07,29.819660942353185
2022-02-10,29.662625155667886
2022-02-11,29.25960926499195
2022-02-14,29.22372279827945
2022-02-15,29.19882238712989
2022-02-16,28.649501673744265
2022-02-17,28.445302362373116
2022-02-18,28.30177752986643
2022-02-23,28.235197717852884
2022-02-24,28.10632353558263
2022-02-25,27.04081475063127
2022-02-28,26.754641888916293
2022-03-01,26.848700359291183
2022-03-02,26.566245930023797
2022-03-03,27.39756367339486
2022-03-04,27.67244717557801
2022-03-07,27.80926577249474
2022-03-08,27.794337596354705
2022-03-09,28.10597070822142
2022-03-10,28.27392060813162
2022-03-11,28.28846715496618
2022-03-14,28.15748273492787
2022-03-15,28.74034999656594
2022-03-16,26.92115061388211
2022-03-17,27.06461506816623
2022-03-18,27.103865203872036
2022-03-21,26.973713419332725
2022-03-22,26.748823766648105
2022-04-11,26.614084041084322
2022-04-12,26.866908883962637
2022-04-13,26.995328538822577
2022-04-14,27.042733722523106
2022-04-20,27.02471127922341
2022-04-21,27.04078102932517
2022-04-22,26.92143036808156
2022-04-25,26.958966671402752
2022-04-26,26.810624136010237
2022-04-27,26.719676963174702
2022-04-28,26.690687958214884
2022-04-29,26.845369193190677
2022-05-04,26.8383158072953
2022-05-05,27.272184792326442
2022-05-06,27.119368215939307
2022-05-09,27.10111930126186
2022-05-12,27.9174309931889
2022-05-17,27.920522529938747
2022-05-18,27.683548397251112
2022-05-19,27.92614060522129
2022-05-24,27.912244718109847
2022-05-25,27.830015173837925
2022-05-26,27.853890850222488
2022-05-27,27.853553169451363
2022-06-01,27.603738062088556
2022-06-06,27.38249001735052
2022-06-07,27.26633027984442
2022-06-08,27.302769110136392
2022-06-09,27.288166448581208
2022-06-10,27.398788095246264
2022-06-13,27.260201441297202
2022-06-14,27.357681988750745
2022-06-15,27.455380440643605
2022-06-16,27.419432148498903
2022-06-17,27.374960932947328
2022-06-22,27.303288640732237
2022-06-23,27.2474440611649
2022-06-24,27.28986105164088
2022-06-27,27.186909390295607
2022-06-28,27.155453900578525
2022-06-29,27.239021637252936
2022-06-30,27.37934866779897
2022-07-01,27.416342043875716
2022-07-06,27.427021553416964
2022-07-07,27.452142951127296
2022-07-08,27.607993154720518
2022-07-11,27.66400527771989
2022-07-12,27.58818882844422
2022-07-13,27.904919940524874
2022-07-14,27.937101744875367
2022-07-15,27.873594252301757
2022-07-18,27.770616991888986
2022-07-19,27.929159002833156
2022-07-20,27.602945720928393
2022-07-21,27.53570196471188
2022-07-22,27.39119148205786
2022-07-25,27.146674379135643
2022-07-26,27.224109735365303
2022-07-27,27.236816406218384
2022-07-28,27.14643215441031
2022-07-29,27.1046497989271
2022-08-01,27.02955260558033
2022-08-02,27.212376186894215
2022-08-03,27.16954275942986
2022-08-04,27.329490534768443
2022-08-05,27.230133505203664
2022-08-08,27.23654352076923
2022-08-09,27.177434652849485
2022-08-10,27.017807932595712
2022-08-11,27.08674887141487
2022-08-12,27.093694913770932
2022-08-15,26.91829007735228
2022-08-16,26.84317332905377
2022-08-17,26.860319254501547
2022-08-18,26.630812699536076
2022-08-19,26.562281096100104
2022-08-22,26.854867772205377
2022-08-23,26.788739147863307
2022-08-24,26.760123403296234
2022-08-25,26.869645544006534
2022-08-26,26.834207013010893
2022-08-31,26.738916488627336
2022-09-01,26.670053852940523
2022-09-02,26.564153753947352
2022-09-07,26.352421913215718
2022-09-08,26.33897931472265
2022-09-09,26.373547490747544
2022-09-12,26.596996954012535
2022-09-13,26.550064102838373
2022-09-14,26.60449099562953
2022-09-15,26.58414742619364
2022-09-16,26.68499458111128
2022-09-21,26.704990258543535
2022-09-22,26.826596689483157
2022-09-23,26.74415692837459
2022-09-26,27.16627874892117
2022-09-27,25.500178195394252
2022-09-28,25.550314709159835
2022-09-29,25.193704047592217
2022-09-30,24.921222479226923
2022-10-03,24.930662266878446
2022-10-04,24.849560368502726
2022-10-05,24.749074136948593
2022-10-06,24.78527473780991
2022-10-07,24.7592640292935
2022-10-14,22.34758512098033
2022-10-17,22.741365667435474
2022-10-18,22.2017597935759
2022-10-19,22.09983736284018
2022-10-20,22.092431219974277
2022-10-21,22.082533681246996
2022-10-24,22.16758103992669
2022-10-25,22.12740063069796
2022-10-26,22.1309377267236
2022-10-27,22.169940983917368
2022-10-28,22.118270904120667
2022-10-31,22.18293407400269
2022-11-01,22.191959177673684
2022-11-02,22.157588522397674
2022-11-03,22.122593911685794
2022-11-04,22.146410599828936
2022-11-07,22.10689396175671
2022-11-08,22.21301793386482
2022-11-09,21.82424847377824
2022-11-10,21.907831539258122
2022-11-15,22.00924917127283
2022-11-16,21.94780418393327
2022-11-17,22.211327989745968
2022-11-18,23.512529514151705
2022-11-21,23.859749633563965
2022-11-22,23.900980423747793
2022-11-23,23.872456144661907
2022-11-29,24.015106771289812
2022-11-30,24.031530530379808
2022-12-01,24.184460696288685
2022-12-02,24.13701388584914
2022-12-05,23.93186802832948
2022-12-06,24.086085013816483
2022-12-07,24.076663060704934
2022-12-08,24.036330385742662
2022-12-09,23.924429856611145
2022-12-12,23.842896035420566
2022-12-13,24.16315430961912
2022-12-14,24.33300636317449
2022-12-15,24.212269022159873
2022-12-16,24.337485605110725
2022-12-19,24.33511718724701
2022-12-20,24.23923815546969
2022-12-21,24.12632730659044
2022-12-22,24.178269801177166
2022-12-29,24.657772099974846
2022-12-30,24.61751186065597
2023-01-04,24.620426987143077
2023-01-05,24.568325464108444
2023-01-06,24.537910385457938
2023-01-09,24.45756334591699
2023-01-10,24.516510070514595
2023-01-11,24.51220118176735
2023-01-18,24.610892231141566
2023-01-19,24.512795448200716
2023-01-20,24.512909140042627
2023-01-23,24.567135095780802
2023-01-24,24.597055555810496
2023-01-25,24.64762380051887
2023-01-26,24.811044851880308
2023-01-27,24.984058329882743
2023-01-30,24.64491621471557
2023-01-31,24.525748665863535
2023-02-01,24.51291846010477
2023-02-02,24.366900174580184
2023-02-03,23.965549965321923
2023-02-06,24.408983646678124
2023-02-07,24.38123808950407
2023-02-08,24.549622892837906
2023-02-09,24.478683266611302
2023-02-10,24.570203764535375
2023-02-13,24.96997027055922
2023-02-14,25.005894615714848
2023-02-15,24.933018477208986
2023-02-16,24.95328319342609
2023-02-17,24.933534221593025
2023-02-22,24.868487689476485
2023-02-23,24.98892578131152
2023-02-24,24.988480582863705
2023-02-27,24.851745374918426
2023-02-28,24.34461385622046
2023-03-01,24.42957038535935
2023-03-02,24.33953751787496
2023-03-03,24.344767869515806
2023-03-06,24.235663752384337
2023-03-07,23.964381700361116
2023-03-08,24.196265462611716
2023-03-09,24.130014005146567
2023-03-10,23.556613732079395
2023-03-13,23.696856265448588
2023-03-14,23.80071968496839
2023-03-15,23.409706553996344
2023-03-16,23.73808330259557
2023-03-21,23.75905383016912
2023-03-22,23.67801605413312
2023-03-23,23.60197862456091
2023-03-24,23.467038567368036
2023-03-27,23.28771756804568
2023-03-28,23.47976247305947
2023-03-29,23.49436245436628
2023-03-30,23.65631734438107
2023-03-31,23.715196357158685
2023-04-03,23.889918475757202
2023-04-04,24.094187134201885
2023-04-05,24.238575781336134
2023-04-06,24.170917835251398
2023-04-12,24.168300538700873
2023-04-13,23.654211033354766
2023-04-14,23.725193503524803
2023-04-17,23.81468061513101
2023-04-18,23.12711016401906
2023-04-19,23.045068027530334
2023-04-20,23.151309616277945
2023-04-21,23.11959631350062
2023-04-24,23.01633831470835
2023-04-25,23.023361186037803
2023-04-26,23.028391685944303
2023-04-27,23.017795613117382
2023-04-28,23.613179752414112
2023-05-03,23.7500329596664
2023-05-04,23.875770066603167
2023-05-05,23.849719512323492
2023-05-10,23.967611760432813
2023-05-11,23.658438969673885
2023-05-12,23.656173849326063
2023-05-15,23.57871765700043
2023-05-16,23.79539551068491
2023-05-17,23.85855862889299
2023-05-18,24.122612881421457
2023-05-19,23.95861847467337
2023-05-22,24.016279261342444
2023-05-23,24.070044182548827
2023-05-24,24.024187488313913
2023-05-25,23.966132452209592
2023-05-26,24.00407135969034
2023-05-31,23.660126788327464
2023-06-01,23.600044277048777
2023-06-02,23.22662670860984
2023-06-05,23.271351269189612
2023-06-06,22.977642481890296
2023-06-07,22.84541111616251
2023-06-08,22.93661720030835
2023-06-09,22.521176486855722
2023-06-12,22.594532724141114
2023-06-13,22.61114830456803
2023-06-14,22.77673848033747
2023-06-15,22.360024355204676
2023-06-16,22.62346127408878
2023-06-21,22.673279915428438
2023-06-22,22.861043515606543
2023-06-23,23.32313529434272
2023-06-26,23.299084009075624
2023-06-27,23.259318673478088
2023-06-30,23.112177884484453
2023-07-03,23.247683620520032
2023-07-06,23.20509207123136
2023-07-07,23.106112502697403
2023-07-10,23.16464619376696
2023-07-11,22.990429325884023
2023-07-12,23.021637464625254
2023-07-13,23.023535413052812
2023-07-14,23.102458620760554
2023-07-17,23.332131696446634
2023-07-18,23.06076247022791
2023-07-19,23.135548339594212
2023-07-20,23.311135917607206
2023-07-21,23.288003311702397
2023-07-24,23.22828916429729
2023-07-25,23.334986911231578
2023-07-26,23.385517958538866
2023-07-27,23.215540938744496
2023-07-28,23.087125135197216
2023-07-31,22.95674112555314
2023-08-01,22.95951672393475
2023-08-02,23.140426018814768
2023-08-03,23.302821399611773
2023-08-04,23.36116127396896
2023-08-07,23.423413456568596
2023-08-08,23.475143468439978
2023-08-09,23.64503048166336
2023-08-10,23.5714301337597
2023-08-11,23.498062186845306
2023-08-14,23.49727944429641
2023-08-15,23.47734683081346
2023-08-16,23.501681277973024
2023-08-17,23.43983532914066
2023-08-18,23.44996099088686
2023-08-21,23.275826437894825
2023-08-24,23.424347999114513
2023-08-25,22.712162418113678
2023-08-30,23.06158936769648
2023-08-31,23.16430701568595
2023-09-01,23.324286388956924
2023-09-06,23.382078872863882
2023-09-07,23.422153491105643
2023-09-08,23.413289214865046
2023-09-11,23.72251821819334
2023-09-12,23.874838139921508
2023-09-13,23.93565095964196
2023-09-14,26.201094049588644
2023-09-15,26.061022853717578
2023-09-18,26.191260732861924
2023-09-19,26.29930187785692
2023-09-20,26.19496506148433
2023-09-21,26.1685005451105
2023-09-22,26.120680781270877
2023-09-25,26.143663352487142
2023-09-26,26.01003834092063
2023-09-27,25.9166117882932
2023-09-28,26.101888448887365
2023-09-29,26.211822119666877
2023-10-02,26.15832235252219
2023-10-03,26.444455954639807
2023-10-04,26.141627463972338
2023-10-05,26.017311136445173
2023-10-06,25.95461461614173
2023-10-11,26.10742675420772
2023-10-12,26.711530924794676
2023-10-13,26.534065077544597
2023-10-16,25.978202422795842
2023-10-17,25.97931422472611
2023-10-18,25.94879963497519
2023-10-19,25.5545110614646
2023-10-20,25.60375119911497
2023-10-23,25.592260625783428
2023-10-24,25.622661812802033
2023-10-25,25.491838007840073
2023-10-26,25.54264391872937
2023-10-27,24.821168193512506
2023-10-30,24.935660690641637
2023-10-31,25.000793326495813
2023-11-01,24.524909795215688
2023-11-02,24.52769585836617
2023-11-03,24.579754848844136
2023-11-06,25.042668819901365
2023-11-07,25.101972080206725
2023-11-08,24.92703728335631
2023-11-09,24.498748574744592
2023-11-14,24.69365770143119
2023-11-15,24.728345212811856
2023-11-16,24.533273099774178
2023-11-17,24.749630616264614
2023-11-20,24.651042435937367
2023-11-21,24.453158596697875
2023-11-22,24.107557893312904
2023-11-27,24.308566597777002
2023-11-28,24.22968265263904
2023-11-29,24.126930312722255
2023-11-30,24.099921360675697
2023-12-01,24.265082086241787
2023-12-04,24.003474914758566
2023-12-05,24.02908938185308
2023-12-06,23.798081605306304
2023-12-07,23.49388724516901
2023-12-08,23.53246773184304
2023-12-11,23.520332960645778
2023-12-12,23.489340090740967
2023-12-13,23.879735886955533
2023-12-14,23.80649055577786
2023-12-15,24.27881940856156
2023-12-18,24.323120489990128
2023-12-19,24.45570956157807
2023-12-20,24.505883551660133
2023-12-21,24.514853831383622
2023-12-22,24.72821166159891
2023-12-28,24.235047659492256
2023-12-29,24.41830436268546
2024-01-03,24.21687333101961
2024-01-04,24.23635670858991
2024-01-05,24.226626991115698
2024-01-08,23.63139377818094
2024-01-09,23.666272734973308
2024-01-10,23.581763492597826
2024-01-11,23.65213311309935
2024-01-12,23.443430207808532
2024-01-17,28.382069635231577
2024-01-18,28.225430663946764
2024-01-19,28.08319361817615
2024-01-22,28.12590331960843
2024-01-23,28.29038878958281
2024-01-24,28.28810942313559
2024-01-25,28.169207464321612
2024-01-26,27.85593916100471
2024-01-29,27.7390460474634
2024-01-30,27.70069235497877
2024-01-31,27.465997500533163
2024-02-01,27.345730949423253
2024-02-02,27.22510871995607
2024-02-05,27.32760435794064
2024-02-06,27.152616102235367
2024-02-07,27.395214774132096
2024-02-08,27.1997696917071
2024-02-09,27.20114144557944
2024-02-12,27.1054941701432
2024-02-13,27.1427624103089
2024-02-14,27.055490207185994
2024-02-15,27.22083771225766
2024-02-16,27.08335378940013
2024-02-21,27.17485238280612
2024-02-22,27.146763580967047
2024-02-23,27.1075288158425
2024-02-26,27.0772883886716
2024-02-27,26.920462508451106
2024-02-28,27.139135592254394
2024-02-29,27.142033263384622
2024-03-01,27.173189998271777
2024-03-04,27.45775854820461
2024-03-05,27.37974120565981
2024-03-08,27.302015911848443
2024-03-11,27.32638608279639
2024-03-12,27.273727452287872
2024-03-13,27.219099921326933
2024-03-14,26.965127733019532
2024-03-15,26.881369911535558
2024-03-18,26.87955292155057
2024-03-19,26.746829845740788
2024-03-22,26.688975284809445
2024-03-25,26.69099838253405
2024-03-26,26.711842764088235
2024-03-27,26.560336321090375
2024-03-28,26.479904812155166
2024-04-05,26.135563210211348
2024-04-08,25.991943989710247
2024-04-09,25.95693848215032
2024-04-10,25.784224523572444
2024-04-11,25.707627892920616
