dy_parameter_version,dy_parameter_label,spec_id,spec_name,label,feature_group,model,threshold_rule,threshold,roc_auc,average_precision,f1,precision,recall,balanced_accuracy,n_test,dy_params
lag_p2,Lag robustness (p=2),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,default_0.5,0.5,0.49836032659617185,0.21252951384019436,0.05555555555555555,0.2,0.03225806451612903,0.4995315218846205,303,"{""p"": 2, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
lag_p2,Lag robustness (p=2),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_f1,0.0,0.49836032659617185,0.21252951384019436,0.33972602739726027,0.20462046204620463,1.0,0.5,303,"{""p"": 2, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
lag_p2,Lag robustness (p=2),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_balanced_accuracy,0.65,0.49836032659617185,0.21252951384019436,0.0,0.0,0.0,0.4896265560165975,303,"{""p"": 2, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
lag_p2,Lag robustness (p=2),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_recall_precision_ge_0.30,0.65,0.49836032659617185,0.21252951384019436,0.0,0.0,0.0,0.4896265560165975,303,"{""p"": 2, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
lag_p2,Lag robustness (p=2),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,majority_class,na,,0.5,0.20462046204620463,0.0,0.0,0.0,0.5,303,"{""p"": 2, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,default_0.5,0.5,0.4398680289484887,0.24387580226667877,0.06802721088435375,0.08333333333333333,0.05747126436781609,0.40142081736909324,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_f1,0.12,0.4398680289484887,0.24387580226667877,0.38235294117647056,0.2810810810810811,0.5977011494252874,0.4909802043422733,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_balanced_accuracy,0.12,0.4398680289484887,0.24387580226667877,0.38235294117647056,0.2810810810810811,0.5977011494252874,0.4909802043422733,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_recall_precision_ge_0.30,0.09,0.4398680289484887,0.24387580226667877,0.3835616438356164,0.2731707317073171,0.6436781609195402,0.4769316730523627,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,majority_class,na,,0.5,0.2871287128712871,0.0,0.0,0.0,0.5,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,default_0.5,0.5,0.4873510908847543,0.21086015860866297,0.05194805194805195,0.13333333333333333,0.03225806451612903,0.489158077901218,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_f1,0.01,0.4873510908847543,0.21086015860866297,0.2967741935483871,0.18548387096774194,0.7419354838709677,0.4518806050060233,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_balanced_accuracy,0.01,0.4873510908847543,0.21086015860866297,0.2967741935483871,0.18548387096774194,0.7419354838709677,0.4518806050060233,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
horizon_h10,FEVD horizon robustness (H=10),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,majority_class,na,,0.5,0.20462046204620463,0.0,0.0,0.0,0.5,303,"{""p"": 5, ""H"": 10, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,default_0.5,0.5,0.41012132822477654,0.23565225219733912,0.11428571428571428,0.1509433962264151,0.09195402298850575,0.4418103448275862,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_f1,0.01,0.41012132822477654,0.23565225219733912,0.4497354497354497,0.2920962199312715,0.9770114942528736,0.5116538952745849,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_balanced_accuracy,0.53,0.41012132822477654,0.23565225219733912,0.10852713178294573,0.16666666666666666,0.08045977011494253,0.4592113665389527,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_recall_precision_ge_0.30,0.42000000000000004,0.41012132822477654,0.23565225219733912,0.14906832298136646,0.16216216216216217,0.13793103448275862,0.42544699872286074,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,majority_class,na,,0.5,0.2871287128712871,0.0,0.0,0.0,0.5,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,default_0.5,0.5,0.5804778476776871,0.25727092669994317,0.12658227848101267,0.29411764705882354,0.08064516129032258,0.5154263150849953,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_f1,0.0,0.5804778476776871,0.25727092669994317,0.33972602739726027,0.20462046204620463,1.0,0.5,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_balanced_accuracy,0.05,0.5804778476776871,0.25727092669994317,0.3534136546184739,0.23529411764705882,0.7096774193548387,0.5581582117521082,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
discount_098,Discount robustness (discount=0.98),spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,majority_class,na,,0.5,0.20462046204620463,0.0,0.0,0.0,0.5,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.98, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
