date,system_return,system_es_forward_60d_5pct,forward_60d_tail_threshold_5pct,forward_60d_tail_obs_count
2021-01-05,0.07817835710049341,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-06,-0.0201089845164004,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-07,0.027437123324298,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-08,0.022519481859905502,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-11,-0.028526064797677605,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-12,0.01307692684744642,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-13,-0.007330399062808166,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-14,0.006489170646234132,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-15,0.00833381332531108,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-20,-0.0338843973680267,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-21,0.002007231202611984,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-22,0.028035210483099666,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-25,0.005848321761689267,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-26,0.021291696280413618,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-27,0.0316944753617855,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-28,0.02854205974743762,-0.2120613620805245,-0.06543026063457864,3.0
2021-01-29,-0.0560319563530197,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-01,0.02777585520509558,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-02,0.03169250871449703,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-03,-0.025582727770322916,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-04,-0.013697363679765817,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-05,0.09802265785964304,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-08,-0.004228880750752984,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-09,0.0003107326120428333,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-10,0.02650723312830978,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-11,0.12442465577770817,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-12,0.03241998606890865,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-17,0.17048120647822082,-0.2120613620805245,-0.06543026063457864,3.0
2021-02-18,-0.3163516446337402,-0.1274333819326093,-0.05247351265154617,3.0
2021-02-19,-0.1981136085261587,-0.07871134661408148,-0.04537981436229911,3.0
2021-02-22,-0.1217188330816746,-0.05314978444081112,-0.04478058190299636,3.0
2021-02-23,-0.04503414656186353,-0.05306081438506826,-0.04050074312608902,3.0
2021-02-24,0.00940179476098175,-0.05306081438506826,-0.04050074312608902,3.0
2021-02-25,-0.017713717694822984,-0.05306081438506826,-0.04050074312608902,3.0
2021-02-26,0.002551307270713399,-0.05306081438506826,-0.04050074312608902,3.0
2021-03-01,0.057319430073456044,-0.05306081438506826,-0.04050074312608902,3.0
2021-03-02,-0.033487716825446996,-0.05306081438506826,-0.04050074312608902,3.0
2021-03-03,-0.00676829320384995,-0.05306081438506826,-0.04050074312608902,3.0
2021-03-04,0.014150703445552767,-0.05306081438506826,-0.04050074312608902,3.0
2021-03-05,0.0056786918092439674,-0.05306081438506826,-0.04050074312608902,3.0
2021-03-08,-0.06246770418999465,-0.045663643271335756,-0.03532189977396432,3.0
2021-03-09,-0.0007844621924813199,-0.045663643271335756,-0.03532189977396432,3.0
2021-03-10,0.006807213250670133,-0.045663643271335756,-0.03532189977396432,3.0
2021-03-11,0.04976261223747452,-0.045663643271335756,-0.03532189977396432,3.0
2021-03-12,0.051858943754308655,-0.05085520765977244,-0.04050074312608902,3.0
2021-03-15,-0.013994816519520384,-0.05085520765977244,-0.04050074312608902,3.0
2021-03-16,-0.04476723639463493,-0.0493581924778265,-0.03532189977396432,3.0
2021-03-17,-0.002959637868059901,-0.0493581924778265,-0.03532189977396432,3.0
2021-03-18,-0.03506114761213101,-0.06272865623521247,-0.040859756434886034,3.0
2021-03-19,0.005049982904244935,-0.06272865623521247,-0.047364728041490764,3.0
2021-03-22,-0.012204755893240752,-0.06272865623521247,-0.047364728041490764,3.0
2021-03-23,-0.008632439551342913,-0.07385423154465086,-0.0521426716427518,3.0
2021-03-24,0.010562829674035384,-0.07385423154465086,-0.0521426716427518,3.0
2021-03-25,-0.011270035526356685,-0.07385423154465086,-0.0521426716427518,3.0
2021-03-26,0.03429880858148792,-0.07385423154465086,-0.0521426716427518,3.0
2021-03-29,-0.02308140544475785,-0.07385423154465086,-0.0521426716427518,3.0
2021-03-30,-0.004781960101390569,-0.07385423154465086,-0.0521426716427518,3.0
2021-03-31,0.036991244483520765,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-01,0.01334347264666815,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-07,-0.011676126527422117,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-08,-0.014683328654359803,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-09,0.019711739331673483,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-12,-0.0023125004339926663,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-13,0.023539880491719165,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-14,0.03369127813070688,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-15,0.010192007251484015,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-20,0.009977911778281352,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-21,-0.013224912805701086,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-22,-0.012736521871737017,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-23,0.0011800436612002183,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-26,0.00754821431551785,-0.07385423154465086,-0.0521426716427518,3.0
2021-04-29,-0.0519475025705752,-0.07385423154465086,-0.04755989711366736,3.0
2021-04-30,0.010347140470109149,-0.07385423154465086,-0.04755989711366736,3.0
2021-05-05,-0.04027619084879713,-0.07385423154465086,-0.05299313113308002,3.0
2021-05-06,-0.005639834756852084,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-07,0.0290400403438007,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-10,-0.011277991579822634,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-11,-0.021959073663801582,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-12,0.008292331405810252,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-13,-0.03440091175476481,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-14,0.02556183629384502,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-17,0.02341051651514205,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-18,0.019249781088367796,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-19,0.004120594499463868,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-20,0.005486364610527751,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-21,-0.02901143187425582,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-24,0.0006031823719331002,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-25,0.04244882086641502,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-26,-0.014979991350994835,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-27,-0.030161641870724162,-0.07405592014158381,-0.05588113730364712,3.0
2021-05-28,0.0027921518045329837,-0.07405592014158381,-0.05588113730364712,3.0
2021-06-02,0.024361678653195603,-0.07405592014158381,-0.05588113730364712,3.0
2021-06-03,0.014713247293362833,-0.07405592014158381,-0.05588113730364712,3.0
2021-06-04,0.05605349029572307,-0.07405592014158381,-0.05588113730364712,3.0
2021-06-07,-0.015377249442905099,-0.07405592014158381,-0.05588113730364712,3.0
2021-06-08,0.005446064621933183,-0.07405592014158381,-0.05588113730364712,3.0
2021-06-09,-0.021748026377209784,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-10,-0.01716219656583833,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-11,0.018442627109978182,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-14,-0.01887315424216975,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-15,-0.009495633710862317,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-16,-0.0021602415323558164,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-17,0.018915649291657535,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-18,0.038399801059450914,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-21,-0.05585088401410718,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-22,0.00247055355065545,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-28,0.048155857380343926,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-29,0.015943465471544183,-0.07603142441640089,-0.05675227544612859,3.0
2021-06-30,-0.08038758212095502,-0.06805421364438455,-0.05302338442261996,3.0
2021-07-01,-0.047123529382065266,-0.06805421364438455,-0.05302338442261996,3.0
2021-07-02,0.09668902597934825,-0.06805421364438455,-0.05302338442261996,3.0
2021-07-07,-0.08532422849889036,-0.05771271829355732,-0.052915574054695096,3.0
2021-07-08,-0.001706115364511834,-0.05771271829355732,-0.052915574054695096,3.0
2021-07-09,0.050277035164849604,-0.05771271829355732,-0.052915574054695096,3.0
2021-07-12,0.0025076977035673326,-0.05771271829355732,-0.052915574054695096,3.0
2021-07-13,0.01121152240229025,-0.0592219048164233,-0.05440755281433354,3.0
2021-07-14,-0.002565285807110734,-0.0592219048164233,-0.05440755281433354,3.0
2021-07-15,-0.03376996116563141,-0.0592219048164233,-0.05440755281433354,3.0
2021-07-20,0.005320533763086366,-0.0592219048164233,-0.05440755281433354,3.0
2021-07-21,0.007759793422474903,-0.0592219048164233,-0.05440755281433354,3.0
2021-07-22,0.028374969928797202,-0.0592219048164233,-0.05440755281433354,3.0
