date,tci_total,tci_short,tci_long,short_minus_long,short_share,long_share,tci_total_lag1,tci_total_roll5_mean,tci_total_roll5_std,tci_short_lag1,tci_short_roll5_mean,tci_short_roll5_std,tci_long_lag1,tci_long_roll5_mean,tci_long_roll5_std,system_es_forward_60d_5pct
2021-11-30,29.391547240472544,56.73105934183409,0.0040110908289704,56.72704825100512,1.9301828133673304,0.000136470897437,,,,,,,,,,-0.09634220085680932
2021-12-01,30.019398011622048,58.10906491810788,0.0044419853216944,58.104622932786185,1.935717195115335,0.0001479704996074,29.391547240472544,,,56.73105934183409,,,0.0040110908289704,,,-0.09634220085680932
2021-12-02,30.065077255767008,58.20202473559343,0.0045666969949389,58.19745803859849,1.9358681250163516,0.000151893738908,30.019398011622048,,,58.10906491810788,,,0.0044419853216944,,,-0.09634220085680932
2021-12-03,29.974738720197298,58.21311282728888,0.0042529403832752,58.20885988690561,1.942072402054476,0.0001418841519512,30.065077255767008,,,58.20202473559343,,,0.0045666969949389,,,-0.09634220085680932
2021-12-06,30.10816019949625,58.37383612372141,0.0040409379974862,58.36979518572392,1.9388044881167488,0.0001342140459832,29.974738720197298,29.911784285511036,0.2639139224247071,58.21311282728888,57.92581958930914,0.6034196552985,0.0042529403832752,0.004262730305273,0.0002177788813171,-0.09634220085680932
2021-12-07,30.06400583934162,58.95936857484812,0.003602967313786,58.95576560753433,1.9611281640217808,0.0001198432215932,30.10816019949625,30.046276005284845,0.0454697640847288,58.37383612372141,58.371481435911946,0.3060311915402489,0.0040409379974862,0.0041811056022361,0.000339349384532,-0.09634220085680932
2021-12-08,30.029144416676584,59.083516970826814,0.0035776685229532,59.07993930230386,1.967539139677086,0.0001191398753594,30.06400583934162,30.048225286295757,0.0444737305208644,58.95936857484812,58.56637184645573,0.3785488778303814,0.003602967313786,0.0040082422424879,0.0003801208752023,-0.09634220085680932
2021-12-09,29.97079596375149,59.013816282389165,0.0036155746432522,59.01020070774591,1.9690440105015588,0.0001206365906205,30.029144416676584,30.02936902789265,0.0525796200860975,59.083516970826814,58.72873015581488,0.3611517319624811,0.0035776685229532,0.0038180177721505,0.0002770735592588,-0.09376460511847921
2021-12-10,29.90666340326416,58.86833605061784,0.0036330949248418,58.864702955693,1.968401999809603,0.000121481118634,29.97079596375149,30.015753964506025,0.0706660205239553,59.013816282389165,58.85977480048067,0.2529497773895199,0.0036155746432522,0.0036940486804638,0.0001743822752019,-0.09376460511847921
2021-12-13,29.91110695192168,58.93730540154146,0.0036287236525056,58.93367667788896,1.9704153877111843,0.0001213169294716,29.90666340326416,29.976343314991105,0.0626330915495632,58.86833605061784,58.97246865604468,0.0725162333935559,0.0036330949248418,0.0036116058114677,1.998458053127573e-05,-0.09376460511847921
2021-12-14,29.922675611767527,59.01000402414615,0.0036140793795625,59.00638994476659,1.9720831382117316,0.0001207806222429,29.91110695192168,29.94807726947629,0.0465084472624929,58.93730540154146,58.98259574590428,0.0735085335372401,0.0036287236525056,0.003613828224623,1.951264508370152e-05,-0.09376460511847921
2021-12-17,30.299645782839445,60.38520907301714,0.0036195943230191,60.38158947869412,1.9929344886010845,0.0001194599550424,29.922675611767527,30.002177542708857,0.1504722683738323,59.01000402414615,59.24293416634235,0.5736333512772389,0.0036140793795625,0.0036222133846362,7.455010589379809e-06,-0.09376460511847921
