date,system_return,system_dsv_forward_20d,rolling_threshold_80,high_dsv20_state_80,rolling_threshold_85,high_dsv20_state_85,rolling_threshold_90,high_dsv20_state_90
2021-01-05,0.07817835710049341,0.0003200834315614705,,,,,,
2021-01-06,-0.0201089845164004,0.000299864868647429,,,,,,
2021-01-07,0.027437123324298,0.0003007590402676334,,,,,,
2021-01-08,0.022519481859905502,0.0003007590402676334,,,,,,
2021-01-11,-0.028526064797677605,0.0002600722216255683,,,,,,
2021-01-12,0.01307692684744642,0.00026007222162556835,,,,,,
2021-01-13,-0.007330399062808166,0.0002573854841045674,,,,,,
2021-01-14,0.006489170646234132,0.0002573854841045674,,,,,,
2021-01-15,0.00833381332531108,0.00526130363722818,,,,,,
2021-01-20,-0.0338843973680267,0.007166346112141267,,,,,,
2021-01-21,0.002007231202611984,0.007907119828479494,,,,,,
2021-01-22,0.028035210483099666,0.008008523546307265,,,,,,
2021-01-25,0.005848321761689267,0.008008523546307265,,,,,,
2021-01-26,0.021291696280413618,0.008024212336035858,,,,,,
2021-01-27,0.0316944753617855,0.008024212336035858,,,,,,
2021-01-28,0.02854205974743762,0.008024212336035858,,,,,,
2021-01-29,-0.0560319563530197,0.00792330468830759,,,,,,
2021-02-01,0.02777585520509558,0.007925595177952254,,,,,,
2021-02-02,0.03169250871449703,0.007925595177952254,,,,,,
2021-02-03,-0.025582727770322916,0.007892871379943732,,,,,,
2021-02-04,-0.013697363679765817,0.008078601194693377,,,,,,
2021-02-05,0.09802265785964304,0.008078631963739948,,,,,,
2021-02-08,-0.004228880750752984,0.008077737792119743,,,,,,
2021-02-09,0.0003107326120428333,0.008077737792119745,,,,,,
2021-02-10,0.02650723312830978,0.008077737792119743,,,,,,
2021-02-11,0.12442465577770817,0.008087530536590495,,,,,,
2021-02-12,0.03241998606890865,0.008187735809311151,,,,,,
2021-02-17,0.17048120647822082,0.008188173782126653,,,,,,
2021-02-18,-0.3163516446337402,0.0032457198325970245,,,,,,
2021-02-19,-0.1981136085261587,0.0012832697384342214,,,,,,
2021-02-22,-0.1217188330816746,0.0005499438254166732,,,,,,
2021-02-23,-0.04503414656186353,0.0004522660582192823,,,,,,
2021-02-24,0.00940179476098175,0.0004522660582192823,,,,,,
2021-02-25,-0.017713717694822984,0.0004429279535289552,,,,,,
2021-02-26,0.002551307270713399,0.0004429279535289552,,,,,,
2021-03-01,0.057319430073456044,0.0004695655173942201,,,,,,
2021-03-02,-0.033487716825446996,0.00041463751560571837,,,,,,
2021-03-03,-0.00676829320384995,0.0004123470259610543,,,,,,
2021-03-04,0.014150703445552767,0.0004123470259610543,,,,,,
2021-03-05,0.0056786918092439674,0.0004191636224952728,,,,,,
2021-03-08,-0.06246770418999465,0.00023483292617543613,,,,,,
2021-03-09,-0.0007844621924813199,0.00023480215712886455,,,,,,
2021-03-10,0.006807213250670133,0.00023506954004172534,,,,,,
2021-03-11,0.04976261223747452,0.00023506954004172534,,,,,,
2021-03-12,0.051858943754308655,0.0002350695400417253,,,,,,
2021-03-15,-0.013994816519520384,0.00022527679557097328,,,,,,
2021-03-16,-0.04476723639463493,0.00012507152285031698,,,,,,
2021-03-17,-0.002959637868059901,0.0001333784659707341,,,,,,
2021-03-18,-0.03506114761213101,8.002521184621385e-05,,,,,,
2021-03-19,0.005049982904244935,8.002521184621385e-05,,,,,,
2021-03-22,-0.012204755893240752,7.257740852553411e-05,,,,,,
2021-03-23,-0.008632439551342913,0.0002037786090611505,,,,,,
2021-03-24,0.010562829674035384,0.00020377860906115047,,,,,,
2021-03-25,-0.011270035526356685,0.0002785365014873199,,,,,,
2021-03-26,0.03429880858148792,0.0002801268882915497,,,,,,
2021-03-29,-0.02308140544475785,0.00025348932442628485,,,,,,
2021-03-30,-0.004781960101390569,0.0002587056220094478,,,,,,
2021-03-31,0.036991244483520765,0.000282815667818061,,,,,,
2021-04-01,0.01334347264666815,0.000282815667818061,,,,,,
2021-04-07,-0.011676126527422117,0.0003351702077617983,,,,,,
2021-04-08,-0.014683328654359803,0.00032439020074320106,0.008008523546307265,0.0,0.008024212336035858,0.0,0.008077737792119743,0.0
2021-04-09,0.019711739331673483,0.00032439020074320117,0.008008523546307265,0.0,0.008024212336035858,0.0,0.008077737792119743,0.0
2021-04-12,-0.0023125004339926663,0.00032412281783034027,0.007991937872636263,0.0,0.008024212336035858,0.0,0.008077737792119743,0.0
2021-04-13,0.023539880491719165,0.00032412281783034027,0.00797535219896526,0.0,0.008024212336035858,0.0,0.008077737792119743,0.0
2021-04-14,0.03369127813070688,0.00032412281783034027,0.007958766525294259,0.0,0.008024212336035858,0.0,0.008077737792119743,0.0
2021-04-15,0.010192007251484015,0.00036620597680006963,0.007942180851623256,0.0,0.008024212336035858,0.0,0.008077737792119743,0.0
2021-04-20,0.009977911778281352,0.00036620597680006963,0.007925595177952254,0.0,0.008024212336035858,0.0,0.008077737792119743,0.0
2021-04-21,-0.013224912805701086,0.00035746106086414976,0.007925595177952254,0.0,0.008024212336035858,0.0,0.008077737792119743,0.0
2021-04-22,-0.012736521871737017,0.00036057011843848195,0.007925595177952254,0.0,0.008023427896549428,0.0,0.008077737792119743,0.0
2021-04-23,0.0011800436612002183,0.00040605635045537307,0.007925595177952254,0.0,0.00802107457809014,0.0,0.008077737792119743,0.0
2021-04-26,0.00754821431551785,0.00040605635045537307,0.007925595177952254,0.0,0.008018721259630851,0.0,0.008077737792119743,0.0
2021-04-29,-0.0519475025705752,0.0002711291992893772,0.007925595177952254,0.0,0.00801636794117156,0.0,0.008077737792119743,0.0
2021-04-30,0.010347140470109149,0.0002711291992893772,0.007925137080023322,0.0,0.008014014622712272,0.0,0.008072385246511354,0.0
2021-05-05,-0.04027619084879713,0.00019002062182494074,0.00792467898209439,0.0,0.008011661304252984,0.0,0.008067032700902966,0.0
2021-05-06,-0.005639834756852084,0.00020025322504217715,0.007924220884165455,0.0,0.008009307985793695,0.0,0.008061680155294577,0.0
2021-05-07,0.0290400403438007,0.00020025322504217715,0.007923762786236523,0.0,0.008008523546307265,0.0,0.008056327609686189,0.0
2021-05-10,-0.011277991579822634,0.00021754240290364026,0.00792330468830759,0.0,0.008008523546307265,0.0,0.0080509750640778,0.0
2021-05-11,-0.021959073663801582,0.0002081594066432507,0.007920067716341971,0.0,0.008008523546307265,0.0,0.008045622518469412,0.0
2021-05-12,0.008292331405810252,0.0002081594066432507,0.007916830744376352,0.0,0.008008523546307265,0.0,0.008040269972861024,0.0
2021-05-13,-0.03440091175476481,0.00016679806771773142,0.007913593772410733,0.0,0.008008523546307265,0.0,0.008034917427252635,0.0
2021-05-14,0.02556183629384502,0.00017130642069627467,0.007910356800445113,0.0,0.008008523546307265,0.0,0.008029564881644247,0.0
2021-05-17,0.02341051651514205,0.00017153975287018038,0.007907119828479494,0.0,0.008008523546307265,0.0,0.008024212336035858,0.0
2021-05-18,0.019249781088367796,0.00017153975287018038,0.007904270138772342,0.0,0.007996084291054013,0.0,0.008024212336035858,0.0
2021-05-19,0.004120594499463868,0.00017153975287018038,0.007901420449065189,0.0,0.007983645035800763,0.0,0.008024212336035858,0.0
2021-05-20,0.005486364610527751,0.00032750581512804304,0.007898570759358037,0.0,0.00797120578054751,0.0,0.008024212336035858,0.0
2021-05-21,-0.02901143187425582,0.00028542265615831374,0.007895721069650884,0.0,0.007958766525294259,0.0,0.008024212336035858,0.0
2021-05-24,0.0006031823719331002,0.0002854226561583137,0.007892871379943732,0.0,0.007946327270041006,0.0,0.008024212336035858,0.0
2021-05-25,0.04244882086641502,0.0002854226561583137,0.007747566326383237,0.0,0.007933888014787754,0.0,0.008024212336035858,0.0
2021-05-26,-0.014979991350994835,0.0005973108170771841,0.007602261272822752,0.0,0.007925595177952254,0.0,0.008024212336035858,0.0
2021-05-27,-0.030161641870724162,0.0006628559361314114,0.0074569562192622575,0.0,0.007925595177952254,0.0,0.008024212336035858,0.0
