date,tci_total,tci_short,tci_long,short_minus_long,short_share,long_share,tci_total_lag1,tci_total_roll5_mean,tci_total_roll5_std,tci_short_lag1,tci_short_roll5_mean,tci_short_roll5_std,tci_long_lag1,tci_long_roll5_mean,tci_long_roll5_std
2021-11-30,29.391547240472544,56.73105934183409,0.0040110908289704,56.72704825100512,1.9301828133673304,0.0001364708974370385,,,,,,,,,
2021-12-01,30.019398011622048,58.10906491810788,0.0044419853216944,58.104622932786185,1.9357171951153347,0.00014797049960744315,29.391547240472544,,,56.73105934183409,,,0.0040110908289704,,
2021-12-02,30.065077255767008,58.20202473559343,0.0045666969949389,58.19745803859849,1.9358681250163514,0.0001518937389080857,30.019398011622048,,,58.10906491810788,,,0.0044419853216944,,
2021-12-03,29.974738720197298,58.21311282728888,0.0042529403832752,58.20885988690561,1.9420724020544762,0.00014188415195124033,30.065077255767008,,,58.20202473559343,,,0.0045666969949389,,
2021-12-06,30.10816019949625,58.37383612372141,0.0040409379974862,58.36979518572392,1.9388044881167492,0.00013421404598324844,29.974738720197298,29.911784285511033,0.2639139224247071,58.21311282728888,57.92581958930914,0.6034196552985,0.0042529403832752,0.00426273030527302,0.00021777888131710395
2021-12-07,30.06400583934162,58.95936857484812,0.003602967313786,58.95576560753433,1.9611281640217806,0.00011984322159328395,30.10816019949625,30.046276005284845,0.04546976408472882,58.37383612372141,58.371481435911946,0.30603119154024894,0.0040409379974862,0.0041811056022361395,0.00033934938453204745
2021-12-08,30.029144416676584,59.083516970826814,0.0035776685229532,59.07993930230386,1.967539139677086,0.00011913987535943095,30.06400583934162,30.048225286295754,0.044473730520864486,58.95936857484812,58.56637184645573,0.3785488778303814,0.003602967313786,0.0040082422424879,0.00038012087520236394
2021-12-09,29.970795963751492,59.013816282389165,0.0036155746432522,59.01020070774591,1.9690440105015588,0.00012063659062058601,30.029144416676584,30.02936902789265,0.052579620086097574,59.083516970826814,58.72873015581488,0.3611517319624811,0.0035776685229532,0.00381801777215056,0.00027707355925886195
2021-12-10,29.90666340326416,58.86833605061784,0.0036330949248418,58.864702955693,1.968401999809603,0.0001214811186340923,29.970795963751492,30.015753964506025,0.07066602052395538,59.013816282389165,58.85977480048067,0.25294977738951996,0.0036155746432522,0.0036940486804638794,0.0001743822752019673
2021-12-13,29.91110695192168,58.93730540154146,0.0036287236525056,58.933676677888954,1.9704153877111843,0.00012131692947166127,29.90666340326416,29.976343314991105,0.0626330915495632,58.86833605061784,58.97246865604468,0.07251623339355591,0.0036330949248418,0.00361160581146776,1.9984580531275734e-05
