label_q,label_col,model,split,train_n,validation_n,test_n,train_positive_rate,validation_positive_rate,test_positive_rate,selected_threshold,threshold_selection_rule,notes,roc_auc,average_precision,f1,precision,recall,balanced_accuracy
75,high_dsv20_state_75,majority_class,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,,not_applicable,baseline,0.5,0.44884488448844884,0.0,0.0,0.0,0.5
75,high_dsv20_state_75,majority_class,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,,not_applicable,baseline,0.5,0.5577557755775577,0.0,0.0,0.0,0.5
75,high_dsv20_state_75,logistic_regression_default_0_5,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.5,fixed_0_5,baseline,0.4129094751673124,0.3958075642077672,0.028985507246376812,1.0,0.014705882352941176,0.5073529411764706
75,high_dsv20_state_75,logistic_regression_default_0_5,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.5,fixed_0_5,baseline,0.565221231122494,0.5908836975669725,0.30973451327433627,0.6140350877192983,0.20710059171597633,0.5214607436191822
75,high_dsv20_state_75,logistic_regression_balanced_tuned,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.266343,selected_from_multi_objective_candidates,baseline,0.4298608665022895,0.4009361676614728,0.6470588235294118,0.4852941176470588,0.9705882352941176,0.5661324410003522
75,high_dsv20_state_75,logistic_regression_balanced_tuned,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.266343,selected_from_multi_objective_candidates,baseline,0.5743177603108717,0.5984473093901623,0.721030042918455,0.5656565656565656,0.9940828402366864,0.5156981365362536
75,high_dsv20_state_75,random_forest,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.5787249031349067,0.6227327202614177,0.6195899772209568,0.44884488448844884,1.0,0.5
75,high_dsv20_state_75,random_forest,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.6627218934911242,0.6970945850842755,0.7161016949152542,0.5577557755775577,1.0,0.5
75,high_dsv20_state_75,extra_trees,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.5655600563578725,0.6352881701510158,0.6195899772209568,0.44884488448844884,1.0,0.5
75,high_dsv20_state_75,extra_trees,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.6180782478141834,0.6507285383767318,0.7161016949152542,0.5577557755775577,1.0,0.5
75,high_dsv20_state_75,gradient_boosting,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.47118263473053895,0.5588446083644343,0.6195899772209568,0.44884488448844884,1.0,0.5
75,high_dsv20_state_75,gradient_boosting,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.603726927492714,0.6259496925446064,0.7161016949152542,0.5577557755775577,1.0,0.5
75,high_dsv20_state_75,hist_gradient_boosting,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.5224550898203593,0.6257363273295923,0.6195899772209568,0.44884488448844884,1.0,0.5
75,high_dsv20_state_75,hist_gradient_boosting,test,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.5654861785745827,0.5674440522884641,0.7161016949152542,0.5577557755775577,1.0,0.5
75,high_dsv20_state_75,svc_rbf,validation,1454,303,303,0.3466299862448418,0.44884488448844884,0.5577557755775577,0.0,selected_from_multi_objective_candidates,,0.5102148643888693,0.5224691539739921,0.6195899772209568,0.44884488448844884,1.0,0.5
