model,class_weight,threshold_rule,threshold,roc_auc,average_precision,f1,precision,recall,balanced_accuracy,score_source,selected
logistic_regression,balanced,max_f1,0.368529,0.6212121212121212,0.3756956728713749,0.6101694915254238,0.5454545454545454,0.6923076923076923,0.7325174825174825,predict_proba,True
logistic_regression,none,max_f1,0.102629,0.6182983682983684,0.37104906725222925,0.5633802816901409,0.4444444444444444,0.7692307692307693,0.6952214452214452,predict_proba,True
logistic_regression_default_threshold,none,fixed_0_5,0.5,0.6182983682983684,0.37104906725222925,0.0,0.0,0.0,0.44696969696969696,predict_proba,True
majority_class,na,na,,0.5,0.2826086956521739,0.0,0.0,0.0,0.5,constant_majority,True
random_forest,balanced,max_f1,0.0,0.5670163170163169,0.32503339980961454,0.4406779661016949,0.2826086956521739,1.0,0.5,predict_proba,True
random_forest,none,max_f1,0.0,0.6089743589743589,0.3386022412433074,0.4406779661016949,0.2826086956521739,1.0,0.5,predict_proba,True
svc_rbf,balanced,max_f1,0.015104,0.75,0.4195202166602877,0.6,0.4772727272727273,0.8076923076923077,0.7296037296037297,predict_proba,True
svc_rbf,none,max_f1,0.0,0.7336829836829838,0.40371350830888997,0.4406779661016949,0.2826086956521739,1.0,0.5,predict_proba,True
