model,mae,rmse,r2,spearman,validation_rmse
historical_mean,0.021980379090248983,0.023345183524374296,-0.6910633766611638,0.0,
elastic_net,0.021980379090248983,0.023345183524374296,-0.6910633766611638,0.0,0.034955602353802996
gradient_boosting,0.029328126315430348,0.03236671785053829,-2.2505932054665,0.0,0.04795443349043277
random_forest,0.031845429351504584,0.034623720094538055,-2.71974146244906,0.0,0.04637995731321402
persistence_lag60,0.039014436398747,0.04110090844021216,-4.2416514835239525,0.0,
ridge,0.0392977424482115,0.041221780095518294,-4.2725266504580475,0.0,0.04247953178592421
