model,mae,rmse,r2,spearman,validation_rmse
svr_rbf,0.016288981067876625,0.017994599500961418,0.005736663091235883,-0.1556005189599201,0.01661424603026784
historical_mean,0.014762820288834997,0.01835389730226792,-0.03436460163697186,0.0,
extra_trees,0.015753107608660052,0.018426813737311972,-0.04259958266656905,-0.18934428119523466,0.01630135999486068
hist_gradient_boosting,0.015631932199686532,0.019296431688900724,-0.14332860074346265,-0.1236078050158395,0.017237581945352878
gradient_boosting,0.015052559529519923,0.01942315993316589,-0.1583954082967587,-0.1992731584734801,0.01790089120299488
elastic_net,0.01422332240485463,0.019756869714576648,-0.19854219140256846,-0.14024703006710454,0.014071345567057253
ridge,0.014488531916390547,0.020138616846479773,-0.245306724626281,-0.1388982044866614,0.01332355479755489
random_forest,0.016449671873609406,0.02024218381596968,-0.25814815049804896,-0.19202651720663017,0.01664361047731052
zero,0.022460868426520682,0.02881257543283712,-1.5490667871678134,0.0,
